artistID	category	artist_category
1	['Rock', 'Rock', 'Rock', 'Rock', 'Rock', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Rock', 'Other']	Rock
2	['New Age', 'Electronic', 'Other', 'Other', 'Other', 'Other', 'Other', 'Experimental', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Rock', 'Experimental', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Jazz', 'Punk']	Experimental
3	['Metal', 'Metal', 'Metal', 'Metal', 'Metal', 'Metal', 'Other', 'Metal', 'Other']	Metal
4	['Metal', 'Metal', 'Metal', 'Rock', 'Rock', 'Rock', 'Rock', 'Rock', 'Rock', 'Rock', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other']	Rock
5	['Other', 'Rock', 'Other', 'Other', 'Other', 'Rock', 'Other']	Rock
6	['Metal', 'Metal', 'Metal', 'Metal', 'Metal', 'Metal', 'Metal', 'Metal', 'Metal', 'Metal', 'Metal', 'Metal', 'Metal', 'Metal', 'Other', 'Other', 'Rock', 'Other', 'Experimental', 'Other', 'Other', 'Other', 'Other', 'Metal', 'Other', 'Other', 'Other']	Metal
7	['Metal', 'Metal', 'Metal', 'Metal', 'Metal', 'Metal', 'Metal', 'Metal', 'Metal', 'Metal', 'Metal', 'Metal', 'Metal', 'Metal', 'Metal', 'Metal', 'Metal', 'Metal', 'Metal', 'Metal', 'Metal', 'Metal', 'Metal', 'Metal', 'Metal', 'Metal', 'Metal', 'Metal', 'Metal', 'Metal', 'Metal', 'Metal', 'Metal', 'Metal', 'Metal', 'Metal', 'Metal', 'Metal', 'Metal', 'Metal', 'Metal', 'Metal', 'Metal', 'Metal', 'Other', 'Experimental', 'Experimental', 'Experimental', 'Experimental', 'Experimental', 'Experimental', 'Experimental', 'Experimental', 'Experimental', 'Experimental', 'Experimental', 'Experimental', 'Experimental', 'Experimental', 'Experimental', 'Experimental', 'Experimental', 'Experimental', 'Experimental', 'Experimental', 'Experimental', 'Experimental', 'Experimental', 'Rock', 'Rock', 'Rock', 'Rock', 'Rock', 'Rock', 'Rock', 'Rock', 'Rock', 'Rock', 'Rock', 'Rock', 'Rock', 'Rock', 'Rock', 'Rock', 'Rock', 'Rock', 'Rock', 'Rock', 'Rock', 'Rock', 'Rock', 'Rock', 'Rock', 'Rock', 'Rock', 'Rock', 'Rock', 'Rock', 'Rock', 'Rock', 'Other', 'Punk', 'Punk', 'Metal', 'Other', 'Other', 'Soundtrack', 'Soundtrack', 'Experimental', 'Experimental', 'Experimental', 'Rock', 'Rock', 'Other', 'Other', 'Folk', 'Folk', 'Folk', 'Folk', 'Other', 'Experimental', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Metal', 'Metal', 'Other', 'Other', 'Rock', 'Experimental', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Metal', 'Other', 'Other', 'Other', 'Other', 'Rock', 'Other', 'Other', 'Rock', 'Rock', 'Other', 'Other', 'Other', 'Rock', 'Other', 'Other', 'Other', 'Rock', 'Rock', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Hip-Hop', 'Other', 'Hip-Hop', 'Other']	Metal
8	['Metal', 'Metal', 'Metal', 'Metal', 'Rock', 'Rock', 'Rock', 'Rock', 'Rock', 'Rock', 'Rock', 'Rock', 'Rock', 'Rock', 'Other', 'Other', 'Other', 'Other', 'Experimental', 'Other', 'Other', 'Other', 'Other', 'Other', 'Rock', 'Rock', 'Rock', 'Reggae']	Rock
9	['Electronic', 'Other', 'Electronic', 'Experimental', 'Experimental', 'Experimental', 'Experimental', 'Experimental', 'Experimental', 'Experimental', 'Experimental', 'Experimental', 'Experimental', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Electronic', 'Other', 'Other', 'Electronic', 'Electronic', 'Electronic', 'Electronic', 'Electronic', 'Electronic', 'Other', 'Electronic', 'Experimental', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other']	Experimental
10	['Other', 'Electronic', 'Electronic', 'Experimental', 'Experimental', 'Experimental', 'Experimental', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Metal', 'Other', 'Electronic', 'Electronic', 'Electronic', 'Electronic', 'Electronic', 'Other']	Electronic
11	['Electronic', 'Other', 'Experimental', 'Experimental', 'Experimental', 'Experimental', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Electronic', 'Electronic', 'Electronic', 'Electronic', 'Other']	Electronic
